cod	tipo	fecha1	fecha2	num_datos	xutm	yutm
263680064	master	1973-08-02	2019-09-09	399	654657	4211138
263680174	master	2002-01-17	2019-09-09	213	654287	4214541
283660046	master	2002-01-17	2018-11-13	164	697702	4213234
243830004	master	2002-01-21	2019-07-05	165	590603	4184336
243850004	master	2013-04-20	2019-07-05	52	577435	4173149
233930020	master	2002-01-21	2019-07-05	164	563930	4165357
233930012	master	2003-01-17	2019-07-05	149	564432	4160845
263810102	master	2011-06-14	2019-07-29	74	632960	4187166
253830016	master	1997-04-16	2019-07-29	114	618811	4187991
253830024	master	2009-02-10	2019-07-29	104	622478	4185141
253840043	master	1996-09-13	2019-07-29	184	623835	4185127
253880015	master	2002-10-15	2019-06-20	162	625314	4173379
253880064	master	2008-07-16	2019-06-20	107	630133	4177088
263750056	master	2008-09-02	2019-06-20	57	637301	4188534
263770107	master	2009-04-07	2019-06-20	104	646616	4194213
263780037	master	2011-09-26	2019-06-20	73	654567	4197682
263810103	master	2008-09-05	2019-06-20	57	636465	4181424
263820085	master	2008-07-30	2019-06-20	112	640312	4186968
273720421	master	2010-06-18	2019-06-21	88	671904	4206103
273760089	master	2009-07-14	2019-07-11	98	673079	4193895
273780003	master	1973-06-14	2019-07-11	172	681814	4195388
273780092	master	2008-10-20	2019-07-11	110	681692	4190906
273780095	master	2009-01-23	2019-03-21	70	681809	4195403
273830035	master	1975-08-11	2019-07-11	273	678521	4184647
283750263	master	2009-04-20	2019-07-11	94	692986	4194041
283810020	master	1976-01-14	2019-07-12	328	691611	4187633
273780093	master	2008-10-20	2019-07-11	106	681689	4190908
273830044	master	1981-06-10	2019-07-11	247	678068	4187099
273840094	master	1981-06-10	2019-07-12	242	686440	4180433
283750001	master	1973-10-15	2019-07-12	162	695499	4190546
283750048	master	1973-10-30	2019-07-12	251	695519	4192458
283810010	master	1981-07-22	2019-07-12	246	691718	4187561
273760091	master	2013-05-13	2019-07-11	55	671554	4189520
273780036	master	1973-11-08	2019-07-11	188	688472	4192234
273780096	master	2013-05-16	2019-07-11	47	682044	4195554
273830036	master	1975-08-11	2019-07-11	278	678532	4184646
273870114	master	2009-01-20	2019-07-12	105	680142	4176140
273880051	master	1981-01-12	2019-07-12	143	682967	4175392
273940021	master	1975-11-05	2019-07-12	251	685111	4170513
273940241	master	2013-07-18	2019-07-12	51	687539	4171095
273940243	master	2014-03-06	2019-07-12	38	685374	4171119
283750154	master	1989-09-21	2019-07-12	30	695803	4193588
273750015	master	1977-11-22	2019-07-11	164	663232	4195552
273750016	master	1978-10-23	2018-08-07	91	663162	4195542
273760079	master	1982-09-28	2019-05-22	61	669034	4197587
273760088	master	2008-02-18	2019-05-22	114	669177	4197794
283720002	master	1974-05-18	2019-07-12	208	698897	4199486
283720171	master	2009-01-20	2019-07-12	105	700491	4202330
283760039	master	2009-01-20	2019-07-12	63	698603	4198998
263830057	master	2009-07-14	2019-07-29	97	645737	4187872
253920102	master	2008-11-13	2019-07-01	108	612663	4165918
253920105	master	2013-05-20	2019-07-01	56	611422	4163277
253930055	master	1983-04-14	2019-07-01	98	618132	4169192
253930059	master	1986-06-03	2019-07-01	148	620958	4164944
253930094	master	2003-03-31	2018-03-01	142	619230	4168137
253930118	master	2009-01-13	2019-07-01	105	618135	4169178
253930121	master	2009-06-23	2019-07-01	100	618135	4169178
263970013	master	2009-07-14	2019-07-15	99	650012	4159940
263920076	master	2008-01-11	2019-07-15	116	641629	4162594
263940047	master	2009-01-20	2019-07-15	104	655481	4161884
263960006	master	1979-01-01	2019-07-15	97	642226	4155202
263960007	master	2002-09-26	2019-07-15	162	642230	4155178
263960112	master	2012-03-15	2018-08-13	63	643478	4157991
254010039	master	1992-07-15	2019-07-16	27	601495	4148488
254070028	master	1978-03-07	2019-07-16	231	623336	4140939
254070041	master	2008-01-29	2019-07-16	112	622671	4141151
264010037	master	2009-12-22	2019-07-16	94	632985	4146733
254020026	master	1982-01-05	2019-07-16	69	612676	4147068
254020076	master	2011-08-10	2019-07-16	59	611881	4145272
